2018-02-27 06:54:35.572 [main] INFO  org.springframework.boot.actuate.endpoint.mvc.EndpointHandlerMapping - Mapped "{[/heapdump || /heapdump.json],methods=[GET],produces=[application/octet-stream]}" onto public void org.springframework.boot.actuate.endpoint.mvc.HeapdumpMvcEndpoint.invoke(boolean,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.io.IOException,javax.servlet.ServletException
2018-02-27 06:54:35.573 [main] INFO  org.springframework.boot.actuate.endpoint.mvc.EndpointHandlerMapping - Mapped "{[/health || /health.json],methods=[GET],produces=[application/vnd.spring-boot.actuator.v1+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.HealthMvcEndpoint.invoke(javax.servlet.http.HttpServletRequest,java.security.Principal)
2018-02-27 06:54:35.573 [main] INFO  org.springframework.boot.actuate.endpoint.mvc.EndpointHandlerMapping - Mapped "{[/archaius || /archaius.json],methods=[GET],produces=[application/vnd.spring-boot.actuator.v1+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
2018-02-27 06:54:35.573 [main] INFO  org.springframework.boot.actuate.endpoint.mvc.EndpointHandlerMapping - Mapped "{[/mappings || /mappings.json],methods=[GET],produces=[application/vnd.spring-boot.actuator.v1+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
2018-02-27 06:54:35.574 [main] INFO  org.springframework.boot.actuate.endpoint.mvc.EndpointHandlerMapping - Mapped "{[/dump || /dump.json],methods=[GET],produces=[application/vnd.spring-boot.actuator.v1+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
2018-02-27 06:54:35.574 [main] INFO  org.springframework.boot.actuate.endpoint.mvc.EndpointHandlerMapping - Mapped "{[/metrics/{name:.*}],methods=[GET],produces=[application/vnd.spring-boot.actuator.v1+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.MetricsMvcEndpoint.value(java.lang.String)
2018-02-27 06:54:35.574 [main] INFO  org.springframework.boot.actuate.endpoint.mvc.EndpointHandlerMapping - Mapped "{[/metrics || /metrics.json],methods=[GET],produces=[application/vnd.spring-boot.actuator.v1+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
2018-02-27 06:54:35.575 [main] INFO  org.springframework.security.web.DefaultSecurityFilterChain - Creating filter chain: org.springframework.boot.actuate.autoconfigure.ManagementWebSecurityAutoConfiguration$LazyEndpointPathRequestMatcher@59fea5f5, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@78eafad, org.springframework.security.web.context.SecurityContextPersistenceFilter@98637a2, org.springframework.security.web.header.HeaderWriterFilter@108b121f, org.springframework.web.filter.CorsFilter@70f4abc1, org.springframework.security.web.authentication.logout.LogoutFilter@506aa618, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@22c8ee48, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@141aba65, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@9f9146d, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@26d028f7, org.springframework.security.web.session.SessionManagementFilter@7b44bfb8, org.springframework.security.web.access.ExceptionTranslationFilter@46b5f061, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@7e2bc2f4]
2018-02-27 06:54:35.577 [main] INFO  org.springframework.security.web.DefaultSecurityFilterChain - Creating filter chain: OrRequestMatcher [requestMatchers=[Ant [pattern='/**']]], [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@625264ed, org.springframework.security.web.context.SecurityContextPersistenceFilter@20027c44, org.springframework.security.web.header.HeaderWriterFilter@563172d3, org.springframework.security.web.authentication.logout.LogoutFilter@3ef0e576, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@da34eb0, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7eae55, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5d84e363, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@559fd5ec, org.springframework.security.web.session.SessionManagementFilter@5086623f, org.springframework.security.web.access.ExceptionTranslationFilter@42cc420b, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@2bfa17b0]
2018-02-27 06:54:35.798 [main] INFO  org.springframework.ui.freemarker.SpringTemplateLoader - SpringTemplateLoader for FreeMarker: using resource loader [org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@3c0fbd3a: startup date [Tue Feb 27 06:54:31 CST 2018]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@31bcf236] and template loader path [classpath:/templates/]
